"","taxa"
"cyanostomum_all","cyanostomum_all"
"dimerum_all","dimerum_all"
"foetens_all","foetens_all"
"redolens_all","redolens_all"
"sambucinumA_all","sambucinumA_all"
"sambucinumD_all","sambucinumD_all"
"solani2_all","solani2_all"
"tricinctum_all","tricinctum_all"
"unknown1_all","unknown1_all"
"oxysporumB_OT1","oxysporumB_OT1"
"oxysporumB_OT2","oxysporumB_OT2"
"oxysporumB_OT3","oxysporumB_OT3"
"oxysporumB_OT4","oxysporumB_OT4"
"oxysporumB_OT5","oxysporumB_OT5"
"oxysporumB_OT6","oxysporumB_OT6"
"oxysporumB_OT7","oxysporumB_OT7"
"oxysporumB_OT8","oxysporumB_OT8"
"solani3_OT1","solani3_OT1"
"solani3_OT2","solani3_OT2"
"solani3_OT3","solani3_OT3"
"solani3_OT4","solani3_OT4"
"solani3_OT5","solani3_OT5"
"solani3_OT6","solani3_OT6"
"solani3_OT7","solani3_OT7"
"solani3_OT8","solani3_OT8"
"solani3_OT9","solani3_OT9"
"solani3_OT10","solani3_OT10"
"incarnatumequiseti_OT1","incarnatumequiseti_OT1"
"incarnatumequiseti_OT2","incarnatumequiseti_OT2"
"incarnatumequiseti_OT3","incarnatumequiseti_OT3"
"incarnatumequiseti_OT4","incarnatumequiseti_OT4"
"incarnatumequiseti_OT5","incarnatumequiseti_OT5"
"incarnatumequiseti_OT6","incarnatumequiseti_OT6"
"incarnatumequiseti_OT7","incarnatumequiseti_OT7"
"incarnatumequiseti_OT8","incarnatumequiseti_OT8"
"incarnatumequiseti_OT9","incarnatumequiseti_OT9"
"incarnatumequiseti_OT10","incarnatumequiseti_OT10"
"incarnatumequiseti_OT11","incarnatumequiseti_OT11"
"incarnatumequiseti_OT12","incarnatumequiseti_OT12"
"fujikuroiAs_OT1","fujikuroiAs_OT1"
"fujikuroiAs_OT2","fujikuroiAs_OT2"
"fujikuroiAs_OT3","fujikuroiAs_OT3"
"fujikuroiAs_OT4","fujikuroiAs_OT4"
"fujikuroiAf_OT2","fujikuroiAf_OT2"
"fujikuroiAf_OT1","fujikuroiAf_OT1"
