CROP,EXP,REP,week,abund_allFus_byavg
BB,1,1,52,36987.59411
BB,1,2,52,66529.75142
BB,1,3,52,60258.96646
BB,1,4,52,42890.97822
BB,1,5,52,37695.0632
BB,1,6,52,58105.84067
BR,1,1,52,26799.34203
BR,1,2,52,19239.11174
BR,1,3,52,18293.99547
BR,1,4,52,34659.48625
BR,1,5,52,32416.14001
BR,1,6,52,29666.58636
FW,1,1,52,7612.632964
FW,1,2,52,5042.851191
FW,1,3,52,3690.632944
FW,1,4,52,4268.789459
FW,1,5,52,4985.421755
FW,1,6,52,4380.668858
LE,1,1,52,13188.94002
LE,1,2,52,5508.914827
LE,1,3,52,16900.27696
LE,1,4,52,10182.49748
LE,1,5,52,19140.95164
LE,1,6,52,26685.2855
RB,1,1,52,29288.12703
RB,1,2,52,24280.87228
RB,1,3,52,26329.36629
RB,1,4,52,19131.71916
RB,1,5,52,17427.56094
RB,1,6,52,24202.83384
SW,1,1,52,25453.33003
SW,1,2,52,22150.66055
SW,1,3,52,25288.60076
SW,1,4,52,31133.77745
SW,1,5,52,81817.18359
SW,1,6,52,52195.86626
VT,1,1,52,30483.46298
VT,1,2,52,21163.1427
VT,1,3,52,33966.82583
VT,1,4,52,33585.35915
VT,1,5,52,52943.85355
VT,1,6,52,51903.74611
BB,2,1,52,48642.13971
BB,2,2,52,46256.56194
BB,2,3,52,55241.51231
BB,2,4,52,39492.35392
BB,2,5,52,43068.14735
BB,2,6,52,40722.91001
BR,2,1,52,50888.75914
BR,2,2,52,37423.66193
BR,2,3,52,60832.71642
BR,2,4,52,31384.32094
BR,2,5,52,50774.86341
BR,2,6,52,40449.20913
FW,2,1,52,19897.41481
FW,2,2,52,30818.23348
FW,2,3,52,8969.558468
FW,2,4,52,17306.46454
FW,2,5,52,6999.208491
FW,2,6,52,14646.80904
LE,2,1,52,21781.22474
LE,2,2,52,5870.237614
LE,2,3,52,7620.200328
LE,2,4,52,15855.09872
LE,2,5,52,15751.19736
LE,2,6,52,12093.14052
RB,2,1,52,25079.76329
RB,2,2,52,49645.459
RB,2,3,52,49836.27212
RB,2,4,52,40489.83372
RB,2,5,52,33931.56886
RB,2,6,52,22188.91121
SW,2,1,52,19745.86388
SW,2,2,52,30704.55443
SW,2,3,52,19519.8432
SW,2,4,52,12912.89193
SW,2,5,52,54166.31391
SW,2,6,52,28431.47299
VT,2,1,52,26856.26472
VT,2,2,52,32868.68153
VT,2,3,52,35306.53377
VT,2,4,52,51265.24053
VT,2,5,52,73289.87135
VT,2,6,52,21827.78018
BB,3,1,52,68991.73024
BB,3,2,52,70574.26642
BB,3,3,52,52536.07536
BB,3,4,52,85349.65816
BB,3,5,52,39988.76812
BB,3,6,52,43880.10922
BR,3,1,52,59247.90366
BR,3,2,52,44416.00484
BR,3,3,52,98356.29817
BR,3,4,52,67754.97078
BR,3,5,52,38806.52101
BR,3,6,52,93414.63118
FW,3,1,52,4680.314492
FW,3,2,52,3773.225133
FW,3,3,52,4791.556286
FW,3,4,52,4910.075296
FW,3,5,52,6337.911601
FW,3,6,52,2213.113845
LE,3,1,52,34104.0136
LE,3,2,52,21543.07897
LE,3,3,52,21092.05153
LE,3,4,52,27190.46742
LE,3,5,52,15187.56396
LE,3,6,52,39118.05586
RB,3,1,52,25151.31479
RB,3,2,52,35564.80239
RB,3,3,52,56409.2639
RB,3,4,52,21450.53897
RB,3,5,52,75374.68561
RB,3,6,52,73840.36571
SW,3,1,52,7502.493066
SW,3,2,52,32707.28007
SW,3,3,52,36312.39138
SW,3,4,52,54694.03152
SW,3,5,52,48043.07534
SW,3,6,52,35603.14062
VT,3,1,52,19446.87321
VT,3,2,52,30983.31542
VT,3,3,52,9520.650126
VT,3,4,52,17010.64231
VT,3,5,52,24077.52973
VT,3,6,52,28950.89001
